impact,id,city,country,class,modelled_score,confidence,fame_pctl,country_coverage,country_rank,queued
3.784,gem:frankfurt-oder,Frankfurt (Oder),Germany,city,5.6,modelled,0.972,0.305,220,2026-09-03
3.782,gem:aberdeen,Aberdeen,United Kingdom,city,6.9,modelled,0.941,0.417,87,2026-09-03
3.775,gem:almeria,Almería,Spain,city,7.9,modelled,0.858,0.443,31,2026-09-03
3.765,gem:gijon,Gijón,Spain,city,7.9,modelled,0.856,0.443,31,2026-09-03
3.762,gem:oviedo,Oviedo,Spain,city,7.5,modelled,0.901,0.443,69,2026-09-03
3.746,gem:sheffield,Sheffield,United Kingdom,metro,6.7,modelled,0.96,0.417,109,2026-09-03
3.744,gem:shrewsbury,Shrewsbury,United Kingdom,city,7.2,modelled,0.893,0.417,52,2026-09-03
3.742,gem:vigo,Vigo,Spain,city,7.6,modelled,0.884,0.443,59,2026-09-03
3.739,gem:elche,Elche,Spain,city,8.4,modelled,0.8,0.443,9,2026-09-03
3.699,gem:zuidhoven,Zuidhoven,Netherlands,village,7.2,modelled,0.706,0.272,19,2026-09-03
3.693,gem:halifax,Halifax,United Kingdom,city,7.1,modelled,0.893,0.417,62,2026-09-03
3.692,gem:dessau,Dessau,Germany,city,8.1,modelled,0.656,0.305,11,2026-09-03
3.686,gem:derby,Derby,United Kingdom,city,6.9,modelled,0.917,0.417,87,2026-09-03
3.679,gem:toulon,Toulon,France,city,7.8,modelled,0.858,0.45,30,2026-09-03
3.671,gem:swindon,Swindon,United Kingdom,city,7.0,modelled,0.9,0.417,72,2026-09-03
3.665,gem:hastings,Hastings,United Kingdom,city,7.1,modelled,0.886,0.417,62,2026-09-03
3.659,gem:magdeburg,Magdeburg,Germany,city,6.0,modelled,0.877,0.305,185,2026-09-03
3.651,gem:dundee,Dundee,United Kingdom,city,6.8,modelled,0.922,0.417,100,2026-09-03
3.639,gem:solingen,Solingen,Germany,city,6.9,modelled,0.759,0.305,85,2026-09-03
3.639,gem:calais,Calais,France,city,7.5,modelled,0.882,0.45,63,2026-09-03
3.632,gem:benidorm,Benidorm,Spain,city,7.1,modelled,0.919,0.443,125,2026-09-03
3.601,gem:blackpool,Blackpool,United Kingdom,city,6.7,modelled,0.923,0.417,109,2026-09-03
3.595,gem:perth,Perth,United Kingdom,town,6.3,modelled,0.98,0.417,166,2026-09-03
3.583,gem:hameln,Hameln,Germany,city,7.2,modelled,0.716,0.305,60,2026-09-03
3.578,gem:bergen-op-zoom,Bergen op Zoom,Netherlands,city,8.4,modelled,0.585,0.272,2,2026-09-03
3.551,gem:castellammare-di-stabia,Castellammare di Stabia,Italy,city,8.4,modelled,0.803,0.474,19,2026-09-03
3.55,gem:macclesfield,Macclesfield,United Kingdom,city,6.9,modelled,0.883,0.417,87,2026-09-03
3.55,gem:algeciras,Algeciras,Spain,city,7.9,modelled,0.807,0.443,31,2026-09-03
3.537,gem:mataro,Mataró,Spain,city,7.8,modelled,0.815,0.443,39,2026-09-03
3.533,gem:colchester,Colchester,United Kingdom,city,6.7,modelled,0.905,0.417,109,2026-09-03
3.533,gem:coventry,Coventry,United Kingdom,metro,6.4,modelled,0.948,0.417,155,2026-09-03
3.53,gem:tenno,Tenno,Italy,village,6.8,modelled,0.986,0.474,194,2026-09-03
3.525,gem:coca,Coca,Spain,village,6.6,modelled,0.959,0.443,193,2026-09-03
3.518,gem:aschaffenburg,Aschaffenburg,Germany,city,6.9,modelled,0.733,0.305,85,2026-09-03
3.497,gem:monchengladbach,Mönchengladbach,Germany,city,6.2,modelled,0.811,0.305,155,2026-09-03
3.496,gem:ripon,Ripon,United Kingdom,town,7.8,modelled,0.77,0.417,12,2026-09-03
3.489,gem:frome,Frome,United Kingdom,town,7.8,modelled,0.768,0.417,12,2026-09-03
3.475,gem:clermont-ferrand,Clermont-Ferrand,France,city,7.6,modelled,0.831,0.45,50,2026-09-03
3.465,gem:leek,Leek,United Kingdom,town,6.5,modelled,0.915,0.417,136,2026-09-03
3.46,gem:burgh,Burgh,Netherlands,village,7.9,modelled,0.602,0.272,3,2026-09-03
3.449,gem:bard,Bard,Italy,village,7.2,modelled,0.91,0.474,145,2026-09-03
3.448,gem:guadalajara,Guadalajara,Spain,city,6.4,modelled,0.968,0.443,223,2026-09-03
3.446,gem:bergisch-gladbach,Bergisch Gladbach,Germany,city,8.0,modelled,0.62,0.305,14,2026-09-03
3.44,gem:coburg,Coburg,Germany,town,6.2,modelled,0.798,0.305,155,2026-09-03
3.432,gem:carlisle,Carlisle,United Kingdom,city,6.5,modelled,0.906,0.417,136,2026-09-03
3.427,gem:eastbourne,Eastbourne,United Kingdom,city,7.2,modelled,0.817,0.417,52,2026-09-03
3.413,gem:caen,Caen,France,city,7.2,modelled,0.862,0.45,98,2026-09-03
3.407,gem:zdar,Žďár,Czechia,village,6.8,modelled,0.818,0.388,28,2026-09-03
3.405,gem:berwick-upon-tweed,Berwick-Upon-Tweed,United Kingdom,town,6.5,modelled,0.899,0.417,136,2026-09-03
3.404,gem:bolton,Bolton,United Kingdom,city,6.7,modelled,0.872,0.417,109,2026-09-03
3.398,gem:liege,Liège,Belgium,city,8.2,modelled,0.904,0.542,2,2026-09-03
3.389,gem:saltaire,Saltaire,United Kingdom,town,7.8,modelled,0.746,0.417,12,2026-09-03
3.387,gem:wigan,Wigan,United Kingdom,city,6.7,modelled,0.868,0.417,109,2026-09-03
3.385,gem:aberystwyth,Aberystwyth,United Kingdom,town,7.0,modelled,0.83,0.417,72,2026-09-03
